id,text_no_spaces,predicted_positions
932,Атеперьподвечеражпяткигорят-,"[1, 8, 12, 19, 21, 27]"
933,Ноженькирезвыевпляскухотят.,"[8, 15, 17, 24]"
934,"Япойдунаулицу,кдевкампойду,","[1, 7, 10, 17, 19, 26]"
935,Голосомзвонкимяимподпою.,"[7, 15, 17, 20]"
936,"Матушка,слышишь,соловушекпоет,","[8, 17, 27]"
937,"Атам,подгорою,пляскаидет-","[1, 6, 10, 17, 24]"
938,"Девкиголосистыезвонкопоют,","[5, 16, 23]"
939,Мнедамолоденькойспатьнедают.,"[3, 6, 18, 24, 27]"
940,"Теплоеместо,ноулицыждут","[6, 13, 16, 22]"
941,Отпечатковнашихног.,"[10, 16]"
942,Звезднаяпыль-насапогах.,"[8, 16]"
943,"Мягкоекресло,клетчатыйплед,","[6, 14, 24]"
944,Ненажатыйвовремякурок.,"[2, 10, 18]"
945,Солнечныйдень-вослепительныхснах.,"[9, 16, 30]"
946,"Группакрови-нарукаве,","[6, 15]"
947,"Мойпорядковыйномер-нарукаве,","[3, 14, 23]"
948,"Пожелаймнеудачивбою,пожелаймне:","[7, 11, 17, 19, 24, 32]"
949,"Неостатьсявэтойтраве,","[2, 11, 13, 18]"
950,Неостатьсявэтойтраве.,"[2, 11, 13, 18]"
951,"Пожелаймнеудачи,пожелаймнеудачи!","[7, 11, 18, 26, 30]"
952,"Иестьчемплатить,ноянехочу","[1, 6, 10, 19, 22, 24, 27]"
953,Победылюбойценой.,"[6, 12]"
954,Яникомунехочуставитьногунагрудь.,"[1, 8, 11, 16, 24, 29, 32]"
955,"Яхотелбыостатьсястобой,","[1, 7, 10, 19, 21]"
956,"Простоостатьсястобой,","[6, 15, 17]"
957,Новысокаявнебезвездазоветменявпуть.,"[2, 10, 12, 17, 24, 30, 35, 37]"
958,"Ночькоротка,цельдалека,","[4, 13, 18]"
959,"Ночьютакчастохочетсяпить,","[5, 9, 15, 23]"
960,"Тывыходишьнакухню,","[2, 11, 14]"
961,"Новодаздесьгорька,","[2, 7, 13]"
962,"Тынеможешьздесьспать,","[2, 5, 12, 18]"
963,Тынехочешьздесьжить.,"[2, 5, 12, 18]"
964,"Доброеутро,последнийгерой!","[6, 12, 22]"
965,"Доброеутротебеитаким,какты,","[6, 11, 16, 18, 25, 29]"
966,"Доброеутро,последнийгерой.","[6, 12, 22]"
967,"Здравствуй,последнийгерой!","[11, 21]"
968,"Тыхотелбытьодин,этобыстропрошло,","[2, 8, 13, 19, 23, 30]"
969,"Тыхотелбытьодин,нонесмогбытьодин,","[2, 8, 13, 19, 22, 25, 30, 35]"
970,"Твояношалегка,нонемеетрука,","[4, 9, 16, 19, 26]"
971,Итывстречаешьрассветзаигройвдурака.,"[1, 4, 15, 23, 26, 32, 34]"
972,"Утромтыстремишьсяскорееуйти,","[5, 8, 19, 26]"
973,"Телефонныйзвонок,каккоманда'Вперед!'","[10, 18, 22, 31]"
974,"Тыуходишьтуда,куданехочешьидти,","[2, 10, 16, 21, 24, 31]"
975,"Тыуходишьтуда,нотебятамниктонеждет!","[2, 10, 16, 19, 24, 28, 34, 37]"
976,Яидупоулицевзеленомпиджаке.,"[1, 5, 8, 14, 16, 24]"
977,Мненравятсямоиботинки.,"[3, 12, 16]"
978,Аещекрасивыйгалстукуменя.,"[1, 5, 14, 23]"
979,"Ягладилбрюкидвачаса,","[1, 8, 14, 18]"
980,Впарикмахерскойсиделсутра.,"[1, 16, 22, 24]"
981,"Ивотидуяпоулице,одиня.","[1, 5, 9, 11, 14, 21, 26]"
982,Поулицеидуя.,"[2, 8, 12]"
983,Поулицеодин.,"[2, 8]"
984,Умоегоприятеляестьновыепластинки.,"[1, 7, 16, 21, 27]"
985,Иязайдувкафеивыпьючашкукофе.,"[1, 3, 9, 11, 16, 18, 24, 30]"
986,Апотомпойдукнему.,"[1, 7, 13, 15]"
987,ИвзеркалахвитринятакпохожнаБодиХоли.,"[1, 3, 12, 19, 21, 25, 31, 34, 39]"
988,Папаскородастсвоюмашинупокататьсямне.,"[4, 10, 15, 20, 27, 38]"
989,Идуя.,[3]
990,Поулицеодиня.,"[2, 8, 13]"
991,Идуяпоулицеодин.,"[3, 5, 8, 14]"
992,Весна-постоянныйнасморк.,[16]
993,Весна-солнцесветитопять.,"[12, 19]"
994,Ияпромочилноги.,"[1, 3, 12]"
995,Весна-ияопятьидугулять.,"[7, 9, 15, 19]"
996,Весна-янемогуусидетьдома.,"[7, 10, 15, 23]"
997,Весна-ялюблювесну.,"[7, 13]"
998,Очемпоютвмоемдворекошки?,"[1, 5, 10, 12, 17, 23]"
999,"Нет-нет-нет-нет,",[]
1000,Янеусну.,"[1, 4]"
1001,Весна-яуженегреюпио.,"[7, 11, 14, 19, 21, 23]"
1002,Весна-скоровырастеттрава.,"[11, 20]"
1003,"Весна-выпосмотрите,каккрасиво.","[8, 20, 24]"
1004,Весна-гдемояголова?,"[9, 13]"
